Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,7950.000000,8050.000000,7925.000000,8050.000000,7014.155762,15700700
2017-02-24,8000.000000,8150.000000,7975.000000,8125.000000,7079.505859,26949200
2017-02-27,8150.000000,8150.000000,8025.000000,8025.000000,6992.373535,21673600
2017-02-28,8125.000000,8425.000000,8125.000000,8200.000000,7144.855469,93601900
2017-03-01,8225.000000,8350.000000,8175.000000,8325.000000,7253.770508,38356600
2017-03-02,8400.000000,8550.000000,8375.000000,8475.000000,7384.469238,62638300
2017-03-03,8500.000000,8550.000000,8375.000000,8400.000000,7319.120605,19648000
2017-03-06,8450.000000,8550.000000,8400.000000,8550.000000,7449.818359,47114500
2017-03-07,8575.000000,8575.000000,8500.000000,8500.000000,7406.251953,40699100
2017-03-08,8550.000000,8550.000000,8350.000000,8400.000000,7319.120605,19314600
2017-03-09,8250.000000,8375.000000,8250.000000,8250.000000,7188.421875,15842000
2017-03-10,8275.000000,8275.000000,8100.000000,8150.000000,7101.289063,14405300
2017-03-13,8175.000000,8250.000000,8175.000000,8250.000000,7188.421875,20977300
2017-03-14,8250.000000,8275.000000,8175.000000,8200.000000,7144.855469,21438000
2017-03-15,8225.000000,8250.000000,8150.000000,8175.000000,7123.071777,16327000
2017-03-16,8250.000000,8575.000000,8250.000000,8575.000000,7471.602051,56153700
2017-03-17,8600.000000,8800.000000,8425.000000,8475.000000,7384.469238,54184000
2017-03-20,8500.000000,8600.000000,8350.000000,8500.000000,7406.251953,17509900
2017-03-21,8550.000000,8550.000000,8425.000000,8475.000000,7384.469238,28519700
2017-03-22,8425.000000,8450.000000,8325.000000,8400.000000,7319.120605,47467800
2017-03-23,8450.000000,8475.000000,8375.000000,8450.000000,7362.686523,30401200
2017-03-24,8425.000000,8575.000000,8425.000000,8525.000000,7428.034668,27602200
2017-03-27,8525.000000,8525.000000,8475.000000,8525.000000,7428.034668,27343500
2017-03-29,8550.000000,8800.000000,8550.000000,8725.000000,7602.299316,58758000
2017-03-30,8675.000000,8725.000000,8500.000000,8675.000000,7558.735352,37527000
2017-03-31,8725.000000,8800.000000,8625.000000,8625.000000,7515.168457,51447000
2017-04-03,8700.000000,8800.000000,8650.000000,8775.000000,7645.866211,20295500
2017-04-04,8800.000000,8925.000000,8750.000000,8775.000000,7645.866211,33188800
2017-04-05,8775.000000,8775.000000,8775.000000,8775.000000,7645.866211,0
2017-04-06,8675.000000,8750.000000,8625.000000,8750.000000,7624.083008,15591900
2017-04-07,8750.000000,8750.000000,8550.000000,8575.000000,7471.602051,28337200
2017-04-10,8600.000000,8625.000000,8500.000000,8600.000000,7493.384766,17526600
2017-04-11,8575.000000,8600.000000,8550.000000,8575.000000,7471.602051,27937100
2017-04-12,8600.000000,8650.000000,8525.000000,8575.000000,7471.602051,12732300
2017-04-13,8575.000000,8650.000000,8500.000000,8500.000000,7406.251953,21574000
2017-04-17,8575.000000,8575.000000,8375.000000,8375.000000,7297.337402,14593900
2017-04-18,8375.000000,8525.000000,8350.000000,8375.000000,7297.337402,33899000
2017-04-19,8375.000000,8375.000000,8375.000000,8375.000000,7297.337402,0
2017-04-20,8425.000000,8600.000000,8375.000000,8575.000000,7471.602051,37608900
2017-04-21,8600.000000,9150.000000,8575.000000,9150.000000,7972.612793,74209300
2017-04-25,9250.000000,9350.000000,8975.000000,9025.000000,7863.696777,34514400
2017-04-26,9050.000000,9100.000000,8925.000000,9025.000000,7863.696777,33994900
2017-04-27,9000.000000,9050.000000,8925.000000,9000.000000,7841.914063,34402800
2017-04-28,9025.000000,9075.000000,8925.000000,8950.000000,7798.346680,29155000
2017-05-02,9000.000000,9025.000000,8900.000000,9000.000000,7942.189453,31580900
2017-05-03,9050.000000,9050.000000,8850.000000,8850.000000,7809.820801,17435900
2017-05-04,8850.000000,8900.000000,8675.000000,8800.000000,7765.697266,26140500
2017-05-05,8750.000000,8775.000000,8700.000000,8700.000000,7677.450195,29628000
2017-05-08,8850.000000,8900.000000,8800.000000,8800.000000,7765.697266,37860400
2017-05-09,8900.000000,8900.000000,8700.000000,8700.000000,7677.450195,19822400
2017-05-10,8625.000000,8675.000000,8575.000000,8600.000000,7589.204102,43704700
2017-05-12,8675.000000,8750.000000,8650.000000,8675.000000,7655.389648,30361100
2017-05-15,8700.000000,8700.000000,8525.000000,8700.000000,7677.450195,30796400
2017-05-16,8700.000000,8750.000000,8600.000000,8600.000000,7589.204102,25436100
2017-05-17,8675.000000,8675.000000,8325.000000,8350.000000,7368.586914,48442000
2017-05-18,8350.000000,8500.000000,8325.000000,8500.000000,7500.956543,53502800
2017-05-19,8525.000000,9000.000000,8450.000000,8750.000000,7721.573242,52777500
2017-05-22,8825.000000,8950.000000,8700.000000,8775.000000,7743.634766,50711500
2017-05-23,8700.000000,8800.000000,8650.000000,8700.000000,7677.450195,40611000
2017-05-24,8575.000000,8725.000000,8550.000000,8725.000000,7699.510742,28548100
